Year,mean
1900,641.2308572777778
1901,538.6795003999999
1902,570.0287516666667
1903,595.8919623166666
1904,612.0025293
1905,637.3294899833334
1906,649.5974999333333
1907,648.2020571666667
1908,663.5618366833334
1909,669.1477291666666
1910,747.0282775833333
1911,694.0317519
1912,737.5161996333334
1913,706.2376193666666
1914,635.44451735
1915,567.0919248625
1916,546.5416134
1917,615.4704123285715
1918,651.3704721428571
1919,616.1536545714285
1920,651.8432061
1921,540.6000339
1922,554.1975993142858
1923,614.7545797285715
1924,315.7196080677778
1925,335.1751434138889
1926,342.6193053783333
1927,362.33999248
1928,332.7096633022222
1929,349.6502023227778
1930,424.9138811668421
1931,395.85670713111114
1932,408.6251721388889
1933,388.6773146805556
1934,401.25407853111113
1935,380.8831003678947
1936,378.01088395
1937,323.4765911014706
1938,319.0845158109375
1939,331.3408760970968
1940,372.0221501575
1941,330.55040332805555
1942,289.9937285168571
1943,286.29051084823527
1944,247.09917938342858
1945,271.73603665666667
1946,312.72984857030303
1947,309.69963840567567
1948,391.95163911088235
1949,339.8016018304359
1950,437.7724497193409
1951,377.8981650898261
1952,357.69842843680436
1953,345.35634726074
1954,365.06440716671426
1955,356.7467137564
1956,412.5685505962963
1957,402.95043670534
1958,403.74936180357145
1959,417.58481232567306
1960,437.8299340209259
1961,464.84475684398075
1962,455.27486817114
1963,413.4421429312281
1964,379.40610126626785
1965,449.8631192476786
1966,448.5258969381035
1967,467.43303418722223
1968,487.6135374894074
1969,473.10353819661015
1970,533.557376624
1971,492.52213841201666
1972,521.3480517717894
1973,466.34170120081666
1974,530.4579958775
1975,520.5249546526229
1976,557.1955602873793
1977,600.6122107409091
1978,581.547642755926
1979,601.096608055132
1980,577.7283352227544
1981,554.8819347622223
1982,598.496139586923
1983,593.4713929918368
1984,632.2039266294286
1985,600.1980538914107
1986,667.95070245
1987,792.9919195026087
1988,794.9123594287333
1989,803.8761595387659
1990,730.4846531980702
1991,907.4196863022439
1992,915.583216255
1993,1028.3831250923683
1994,994.142621802907
1995,1026.6790211752273
1996,963.6977160740425
1997,2332.4006817375002
1998,2302.1753118625
1999,2249.3389192625
2000,2221.224689275
2001,2129.6861949625
2002,2132.0851934375
2003,2138.05946325
2004,2107.5526066
2005,2230.138951042857
2006,2282.8828247857145
2007,2282.3371266714285
2008,2300.4180274714286
2009,2184.167982614286
